Index,Name,Type,Writable,Unit,min,max,enum count,enum values
2,options/demo,ENUM,1,,,,2,0=off|1=on
3,options/units,ENUM,1,,,,4,0=km/kg|1=miles/lbs|2=km/lbs|3=miles/kg
5,options/weight,INT,1,g,,,,
6,options/height,INT,1,mm,,,,
9,options/lock,ENUM,1,,,,2,0=off|1=on
13,options/language,ENUM,1,,,,12,1=english|2=french|3=german|4=spanish|5=italian|8=czech|9=danish|10=finnish|11=norwegian|12=dutch|13=portugese|14=swedish
14,options/hrm,ENUM,1,,,,2,0=off|1=on
15,options/cadence,ENUM,1,,,,2,0=off|1=on
16,running/training/race/type,ENUM,1,,,,2,0=recent|1=mysports
17,cycling/training/race/type,ENUM,1,,,,2,0=recent|1=mysports
19,treadmill/training/race/type,ENUM,1,,,,2,0=recent|1=mysports
22,options/dob_day,INT,1,,1,31,,,,
23,options/dob_month,INT,1,,1,12,,,,
24,options/dob_year,INT,1,,,,,
25,options/gender,ENUM,1,,,,2,0=male|1=female
29,treadmill/metrics/display/left,ENUM,1,,,,10,0=clock|1=duration|2=distance|4=pace|5=avg_pace|6=speed|7=avg_speed|20=calories|21=heart|25=hr_zone
30,treadmill/metrics/display/right,ENUM,1,,,,10,0=clock|1=duration|2=distance|4=pace|5=avg_pace|6=speed|7=avg_speed|20=calories|21=heart|25=hr_zone
33,running/metrics/display/left,ENUM,1,,,,10,0=clock|1=duration|2=distance|4=pace|5=avg_pace|6=speed|7=avg_speed|20=calories|21=heart|25=hr_zone
34,running/metrics/display/right,ENUM,1,,,,10,0=clock|1=duration|2=distance|4=pace|5=avg_pace|6=speed|7=avg_speed|20=calories|21=heart|25=hr_zone
37,cycling/metrics/display/left,ENUM,1,,,,11,0=clock|1=duration|2=distance|4=pace|5=avg_pace|6=speed|7=avg_speed|14=cadence|20=calories|21=heart|25=hr_zone
38,cycling/metrics/display/right,ENUM,1,,,,11,0=clock|1=duration|2=distance|4=pace|5=avg_pace|6=speed|7=avg_speed|14=cadence|20=calories|21=heart|25=hr_zone
41,swimming/metrics/display/right,ENUM,1,,,,8,0=clock|1=duration|2=distance|7=avg_speed|8=lengths|15=swolf|19=strokes|20=calories
42,swimming/metrics/display/left,ENUM,1,,,,8,0=clock|1=duration|2=distance|7=avg_speed|8=lengths|15=swolf|19=strokes|20=calories
45,running/training/intervals/warmup/time,INT,1,s,,,,
46,running/training/intervals/warmup/type,ENUM,1,,,,2,0=time|1=distance
47,running/training/intervals/work/time,INT,1,s,,,,
48,running/training/intervals/work/type,ENUM,1,,,,2,0=time|1=distance
49,running/training/intervals/rest/time,INT,1,s,,,,
50,running/training/intervals/rest/type,ENUM,1,,,,2,0=time|1=distance
51,running/training/intervals/cooldown/time,INT,1,s,,,,
52,running/training/intervals/cooldown/type,ENUM,1,,,,2,0=time|1=distance
53,running/training/intervals/sets,INT,1,,,,,
54,cycling/training/intervals/warmup/time,INT,1,s,,,,
55,cycling/training/intervals/warmup/type,ENUM,1,,,,2,0=time|1=distance
56,cycling/training/intervals/work/time,INT,1,s,,,,
57,cycling/training/intervals/work/type,ENUM,1,,,,2,0=time|1=distance
58,cycling/training/intervals/rest/time,INT,1,s,,,,
59,cycling/training/intervals/rest/type,ENUM,1,,,,2,0=time|1=distance
60,cycling/training/intervals/cooldown/time,INT,1,s,,,,
61,cycling/training/intervals/cooldown/type,ENUM,1,,,,2,0=time|1=distance
62,cycling/training/intervals/sets,INT,1,,,,,
63,swimming/training/intervals/warmup/time,INT,1,s,,,,
64,swimming/training/intervals/warmup/type,ENUM,1,,,,2,0=time|1=distance
65,swimming/training/intervals/work/time,INT,1,s,,,,
66,swimming/training/intervals/rest/type,ENUM,1,,,,2,0=time|1=distance
82,options/time_mode,ENUM,1,,,,2,0=12hr|1=24hr
84,options/click,ENUM,1,,,,2,0=off|1=on
86,cycling/wheel_size,INT,1,mm,,,,
88,swimming/training/intervals/rest/time,INT,1,s,,,,
90,running/metrics/speed_type,ENUM,1,,,,3,0=speed|1=pace|2=both
91,cycling/metrics/speed_type,ENUM,1,,,,3,0=speed|1=pace|2=both
92,treadmill/metrics/speed_type,ENUM,1,,,,3,0=speed|1=pace|2=both
98,running/training/type,ENUM,1,,,,6,0=none|1=goals|2=intervals|3=laps|4=zones|5=race
99,running/training/goals/type,ENUM,1,,,,3,0=distance|1=time|2=calories
100,running/training/laps/type,ENUM,1,,,,3,0=time|1=distance|2=manual
102,running/training/race/mysports,INT,1,,0,4,,,,
103,running/training/laps/distance,INT,1,m,,,,
104,running/training/laps/time,INT,1,s,,,,
105,running/training/goals/distance,INT,1,m,,,,
106,running/training/goals/time,INT,1,min,,,,
107,running/training/goals/calories,INT,1,,,,,
112,treadmill/training/type,ENUM,1,,,,6,0=none|1=goals|2=intervals|3=laps|4=zones|5=race
113,treadmill/training/goals/type,ENUM,1,,,,3,0=distance|1=time|2=calories
114,treadmill/training/laps/type,ENUM,1,,,,3,0=time|1=distance|2=manual
116,treadmill/training/race/mysports,INT,1,,0,4,,,,
117,treadmill/training/laps/distance,INT,1,m,,,,
118,treadmill/training/laps/time,INT,1,s,,,,
119,treadmill/training/goals/distance,INT,1,m,,,,
120,treadmill/training/goals/time,INT,1,min,,,,
121,treadmill/training/goals/calories,INT,1,,,,,
126,cycling/training/type,ENUM,1,,,,6,0=none|1=goals|2=intervals|3=laps|4=zones|5=race
127,cycling/training/goals/type,ENUM,1,,,,3,0=distance|1=time|2=calories
128,cycling/training/laps/type,ENUM,1,,,,3,0=time|1=distance|2=manual
130,cycling/training/race/mysports,INT,1,,0,4,,,,
131,cycling/training/laps/distance,INT,1,m,,,,
132,cycling/training/laps/time,INT,1,s,,,,
133,cycling/training/goals/distance,INT,1,m,,,,
134,cycling/training/goals/time,INT,1,min,,,,
135,cycling/training/goals/calories,INT,1,,,,,
142,swimming/training/type,ENUM,1,,,,6,0=none|1=goals|2=intervals|3=laps|4=zones|5=race
143,swimming/training/goals/type,ENUM,1,,,,3,0=distance|1=time|2=calories
144,swimming/training/laps/type,ENUM,1,,,,3,0=time|1=distance|2=manual
147,swimming/training/laps/distance,INT,1,m,,,,
148,swimming/training/laps/time,INT,1,s,,,,
149,swimming/training/goals/distance,INT,1,m,,,,
150,swimming/training/goals/time,INT,1,min,,,,
151,swimming/training/goals/calories,INT,1,,,,,
152,swimming/training/intervals/cooldown/time,INT,1,s,,,,
153,swimming/training/intervals/cooldown/type,ENUM,1,,,,2,0=time|1=distance
154,swimming/training/intervals/sets,INT,1,,,,,
155,treadmill/training/intervals/warmup/time,INT,1,s,,,,
156,treadmill/training/intervals/warmup/type,ENUM,1,,,,2,0=time|1=distance
157,treadmill/training/intervals/work/time,INT,1,s,,,,
158,treadmill/training/intervals/work/type,ENUM,1,,,,2,0=time|1=distance
159,treadmill/training/intervals/rest/time,INT,1,s,,,,
160,treadmill/training/intervals/rest/type,ENUM,1,,,,2,0=time|1=distance
161,treadmill/training/intervals/cooldown/time,INT,1,s,,,,
163,options/buzz,ENUM,1,,,,2,0=off|1=on
169,options/utc_offset,INT,1,s,,,,
170,running/training/zones/type,ENUM,1,,,,3,0=pace|1=heart|3=speed
171,cycling/training/zones/type,ENUM,1,,,,4,0=pace|1=heart|2=cadence|3=speed
178,options/night_mode,ENUM,1,,,,2,0=off|1=on
183,cycling/training/zones/speed/speed,FLOAT,1,m/s,,,,
184,cycling/training/zones/speed/variation,INT,1,%,0,100,,,,
187,cycling/training/zones/cadence/cadence,INT,1,rpm,,,,
188,cycling/training/zones/cadence/variation,INT,1,%,0,100,,,,
193,treadmill/training/zones/type,ENUM,1,,,,3,0=pace|1=heart|3=speed
214,swimming/pool_size,INT,1,,,,,
215,treadmill/training/intervals/cooldown/type,ENUM,1,,,,2,0=time|1=distance
216,treadmill/training/intervals/sets,INT,1,,,,,
221,running/training/intervals/warmup/distance,INT,1,m,,,,
222,running/training/intervals/work/distance,INT,1,m,,,,
223,running/training/intervals/rest/distance,INT,1,m,,,,
224,running/training/intervals/cooldown/distance,INT,1,m,,,,
225,cycling/training/intervals/warmup/distance,INT,1,m,,,,
226,cycling/training/intervals/work/distance,INT,1,m,,,,
227,cycling/training/intervals/rest/distance,INT,1,m,,,,
228,cycling/training/intervals/cooldown/distance,INT,1,m,,,,
229,treadmill/training/intervals/warmup/distance,INT,1,m,,,,
230,treadmill/training/intervals/work/distance,INT,1,m,,,,
231,treadmill/training/intervals/rest/distance,INT,1,m,,,,
232,treadmill/training/intervals/cooldown/distance,INT,1,m,,,,
233,swimming/training/intervals/warmup/distance,INT,1,m,,,,
234,swimming/training/intervals/work/distance,INT,1,m,,,,
235,swimming/training/intervals/rest/distance,INT,1,m,,,,
236,swimming/training/intervals/cooldown/distance,INT,1,m,,,,
237,swimming/training/intervals/work/type,ENUM,1,,,,2,0=time|1=distance
238,running/training/race/recent/file,INT,0,,,,,
239,cycling/training/race/recent/file,INT,0,,,,,
241,treadmill/training/race/recent/file,INT,0,,,,,
242,running/training/race/recent/distance,INT,0,m,,,,
243,running/training/race/recent/time,INT,0,s,,,,
244,cycling/training/race/recent/distance,INT,0,m,,,,
245,cycling/training/race/recent/time,INT,0,s,,,,
246,treadmill/training/race/recent/distance,INT,0,m,,,,
247,treadmill/training/race/recent/time,INT,0,s,,,,
251,options/flight_mode,ENUM,1,,,,2,0=off|1=on
265,running/training/zones/heart/custom/low,INT,1,bpm,,,,
266,running/training/zones/heart/custom/high,INT,1,bpm,,,,
267,treadmill/training/zones/heart/custom/low,INT,1,bpm,,,,
268,treadmill/training/zones/heart/custom/high,INT,1,bpm,,,,
269,cycling/training/zones/heart/custom/low,INT,1,bpm,,,,
270,cycling/training/zones/heart/custom/high,INT,1,bpm,,,,
271,running/training/zones/heart/type,ENUM,1,,,,6,0=sprint|1=speed|2=endure|3=fat_burn|4=easy|5=custom
272,treadmill/training/zones/heart/type,ENUM,1,,,,6,0=sprint|1=speed|2=endure|3=fat_burn|4=easy|5=custom
273,cycling/training/zones/heart/type,ENUM,1,,,,6,0=sprint|1=speed|2=endure|3=fat_burn|4=easy|5=custom
277,running/training/zones/pace/low,INT,1,s,,,,
278,running/training/zones/pace/high,INT,1,s,,,,
279,cycling/training/zones/pace/low,INT,1,s,,,,
280,cycling/training/zones/pace/high,INT,1,s,,,,
281,treadmill/training/zones/pace/low,INT,1,s,,,,
282,treadmill/training/zones/pace/high,INT,1,s,,,,
283,freestyle/metrics/speed_type,ENUM,1,,,,3,0=speed|1=pace|2=both
284,freestyle/metrics/display/left,ENUM,1,,,,10,0=clock|1=duration|2=distance|4=pace|5=avg_pace|6=speed|7=avg_speed|20=calories|21=heart|25=hr_zone
285,freestyle/metrics/display/right,ENUM,1,,,,10,0=clock|1=duration|2=distance|4=pace|5=avg_pace|6=speed|7=avg_speed|20=calories|21=heart|25=hr_zone
289,freestyle/training/zones/speed/speed,FLOAT,1,m/s,,,,
290,freestyle/training/zones/speed/variation,INT,1,%,,,,
291,freestyle/training/zones/pace/low,INT,1,s,,,,
292,freestyle/training/zones/pace/high,INT,1,s,,,,
293,freestyle/training/goals/distance,INT,1,m,,,,
294,freestyle/training/goals/time,INT,1,min,,,,
295,freestyle/training/goals/calories,INT,1,,,,,
296,freestyle/training/laps/distance,INT,1,m,,,,
297,freestyle/training/laps/time,INT,1,s,,,,
298,freestyle/training/laps/type,ENUM,1,,,,3,0=time|1=distance|2=manual
299,freestyle/training/intervals/warmup/time,INT,1,s,,,,
300,freestyle/training/intervals/warmup/distance,INT,1,m,,,,
301,freestyle/training/intervals/warmup/type,ENUM,1,,,,2,0=time|1=distance
302,freestyle/training/intervals/work/time,INT,1,s,,,,
303,freestyle/training/intervals/work/distance,INT,1,m,,,,
304,freestyle/training/intervals/work/type,ENUM,1,,,,2,0=time|1=distance
305,freestyle/training/intervals/rest/time,INT,1,s,,,,
306,freestyle/training/intervals/rest/distance,INT,1,m,,,,
307,freestyle/training/intervals/rest/type,ENUM,1,,,,2,0=time|1=distance
308,freestyle/training/intervals/cooldown/time,INT,1,s,,,,
309,freestyle/training/intervals/cooldown/distance,INT,1,m,,,,
310,freestyle/training/intervals/cooldown/type,ENUM,1,,,,2,0=time|1=distance
311,freestyle/training/intervals/sets,INT,1,,1,,,
313,freestyle/training/type,ENUM,1,,,,6,0=none|1=goals|2=intervals|3=laps|4=zones|5=race
314,freestyle/training/race/type,ENUM,1,,,,2,0=recent|1=mysports
315,freestyle/training/zones/heart/type,ENUM,1,,,,6,0=sprint|1=speed|2=endure|3=fat_burn|4=easy|5=custom
316,freestyle/training/zones/heart/custom/low,INT,1,bpm,,,,
317,freestyle/training/zones/heart/custom/high,INT,1,bpm,,,,
318,freestyle/training/zones/type,ENUM,1,,,,3,0=pace|1=heart|2=speed
319,freestyle/training/goals/type,ENUM,1,,,,3,0=distance|1=time|2=calories
320,freestyle/training/race/recent/distance,INT,0,m,,,,
321,freestyle/training/race/recent/time,INT,0,s,,,,
322,freestyle/training/race/recent/file,INT,0,,,,,
323,freestyle/training/race/mysports,INT,1,,0,4,,,,
